US,city_id,type,category,cause,deaths,pop,prop0,prop15,prop40,prop65
1,1,All-Cause Mortality,All-Cause Mortality,All-Cause Mortality,1493,152568,0.19,0.294,0.335,0.181
1,1,Large Groups,Cancer,Cancer,348,152568,0.19,0.294,0.335,0.181
1,1,Large Groups,CMNN,CMNN,100,152568,0.19,0.294,0.335,0.181
1,1,Large Groups,Injuries,Homicides,Suppressed,152568,0.19,0.294,0.335,0.181
1,1,Large Groups,Injuries,Non-violent injuries,65,152568,0.19,0.294,0.335,0.181
1,1,Large Groups,Injuries,Suicides,21,152568,0.19,0.294,0.335,0.181
1,1,Large Groups,NCDs,NCDs,954,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,Cancer,Bladder cancer,Suppressed,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,Cancer,Brain and nervous system cancers,Suppressed,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,Cancer,Breast cancer,19,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,Cancer,Cervix uteri cancer,Suppressed,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,Cancer,Colon and rectum cancers,31,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,Cancer,Corpus uteri cancer,Suppressed,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,Cancer,Gallbladder and biliary tract cancer,Suppressed,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,Cancer,Kidney and ureter cancer,10,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,Cancer,Larynx cancer,Suppressed,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,Cancer,Leukaemia,12,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,Cancer,Liver cancer,Suppressed,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,Cancer,"Lymphomas, multiple myeloma",20,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,Cancer,Melanoma and other skin cancers,Suppressed,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,Cancer,Mouth and oropharynx cancers,Suppressed,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,Cancer,Oesophagus cancer,10,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,Cancer,Other Cancer,46,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,Cancer,Ovary cancer,Suppressed,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,Cancer,Pancreas cancer,28,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,Cancer,Prostate cancer,15,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,Cancer,Stomach cancer,Suppressed,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,Cancer,"Trachea, bronchus, lung cancers",97,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,CMNN,Infectious Diseases,50,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,CMNN,Maternal Conditions,Suppressed,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,CMNN,Nutritional Conditions,Suppressed,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,CMNN,Perinatal Conditions,Suppressed,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,CMNN,Respiratory Infections,36,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,CMNN,STDs and HIV/AIDS,Suppressed,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,CMNN,Tuberculosis,Suppressed,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,Injuries,Other unintentional injuries,47,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,Injuries,Road traffic accidents,18,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,Injuries,Suicide,21,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,Injuries,Violence,Suppressed,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,NCDs,Cardiovascular diseases,451,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,NCDs,Cirrhosis of the liver,13,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,NCDs,Congenital anomalies,Suppressed,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,NCDs,Diabetes mellitus and other endocrine disorders,95,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,NCDs,Digestive Diseases,38,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,NCDs,Genitourinary diseases,32,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,NCDs,Neuropsychiatric disorders,195,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,NCDs,Other NCD,11,152568,0.19,0.294,0.335,0.181
1,1,Small Groups,NCDs,Respiratory diseases,114,152568,0.19,0.294,0.335,0.181
0,2,All-Cause Mortality,All-Cause Mortality,All-Cause Mortality,1737,419689,0.29,0.449,0.22,0.042
0,2,Large Groups,Cancer,Cancer,235,419689,0.29,0.449,0.22,0.042
0,2,Large Groups,CMNN,CMNN,243,419689,0.29,0.449,0.22,0.042
0,2,Large Groups,Injuries,Homicides,59,419689,0.29,0.449,0.22,0.042
0,2,Large Groups,Injuries,Non-violent injuries,115,419689,0.29,0.449,0.22,0.042
0,2,Large Groups,Injuries,Suicides,33,419689,0.29,0.449,0.22,0.042
0,2,Large Groups,NCDs,NCDs,1051,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,Cancer,Bladder cancer,Suppressed,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,Cancer,Brain and nervous system cancers,Suppressed,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,Cancer,Breast cancer,18,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,Cancer,Cervix uteri cancer,14,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,Cancer,Colon and rectum cancers,16,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,Cancer,Corpus uteri cancer,Suppressed,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,Cancer,Gallbladder and biliary tract cancer,Suppressed,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,Cancer,Kidney and ureter cancer,Suppressed,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,Cancer,Larynx cancer,Suppressed,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,Cancer,Leukaemia,13,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,Cancer,Liver cancer,11,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,Cancer,"Lymphomas, multiple myeloma",13,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,Cancer,Melanoma and other skin cancers,Suppressed,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,Cancer,Mouth and oropharynx cancers,Suppressed,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,Cancer,Oesophagus cancer,Suppressed,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,Cancer,Other Cancer,45,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,Cancer,Ovary cancer,Suppressed,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,Cancer,Pancreas cancer,Suppressed,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,Cancer,Prostate cancer,18,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,Cancer,Stomach cancer,14,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,Cancer,"Trachea, bronchus, lung cancers",25,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,CMNN,Infectious Diseases,35,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,CMNN,Maternal Conditions,Suppressed,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,CMNN,Nutritional Conditions,20,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,CMNN,Perinatal Conditions,57,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,CMNN,Respiratory Infections,75,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,CMNN,STDs and HIV/AIDS,42,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,CMNN,Tuberculosis,13,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,Injuries,Other unintentional injuries,75,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,Injuries,Road traffic accidents,40,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,Injuries,Suicide,33,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,Injuries,Violence,59,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,NCDs,Cardiovascular diseases,450,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,NCDs,Cirrhosis of the liver,80,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,NCDs,Congenital anomalies,34,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,NCDs,Diabetes mellitus and other endocrine disorders,217,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,NCDs,Digestive Diseases,73,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,NCDs,Genitourinary diseases,38,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,NCDs,Neuropsychiatric disorders,44,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,NCDs,Other NCD,16,419689,0.29,0.449,0.22,0.042
0,2,Small Groups,NCDs,Respiratory diseases,99,419689,0.29,0.449,0.22,0.042
1,3,All-Cause Mortality,All-Cause Mortality,All-Cause Mortality,4106,830178,0.284,0.365,0.25,0.102
1,3,Large Groups,Cancer,Cancer,845,830178,0.284,0.365,0.25,0.102
1,3,Large Groups,CMNN,CMNN,363,830178,0.284,0.365,0.25,0.102
1,3,Large Groups,Injuries,Homicides,27,830178,0.284,0.365,0.25,0.102
1,3,Large Groups,Injuries,Non-violent injuries,164,830178,0.284,0.365,0.25,0.102
1,3,Large Groups,Injuries,Suicides,50,830178,0.284,0.365,0.25,0.102
1,3,Large Groups,NCDs,NCDs,2657,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,Cancer,Bladder cancer,19,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,Cancer,Brain and nervous system cancers,23,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,Cancer,Breast cancer,70,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,Cancer,Cervix uteri cancer,13,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,Cancer,Colon and rectum cancers,76,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,Cancer,Corpus uteri cancer,15,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,Cancer,Gallbladder and biliary tract cancer,Suppressed,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,Cancer,Kidney and ureter cancer,33,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,Cancer,Larynx cancer,Suppressed,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,Cancer,Leukaemia,27,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,Cancer,Liver cancer,52,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,Cancer,"Lymphomas, multiple myeloma",52,830178,0.284,0.365,0.25,0.102
1,3,Small Groups,Cancer,Melanoma and other skin cancers,13,830178,0.284,0.365,0.25,0.102
