category4,name,us,lac,br,mx,lacnobrmx
CMNN,Tuberculosis,0.88 (0.82;0.95),1.10 (1.02;1.17),1.18 (1.10;1.27),0.83 (0.63;1.03),1.09 (0.97;1.21)
CMNN,STDs and HIV/AIDS,1.24 (1.17;1.31),1.07 (1.01;1.13),1.07 (1.00;1.13),0.90 (0.75;1.04),1.17 (1.06;1.28)
CMNN,Infectious Diseases,0.94 (0.91;0.97),1.03 (0.99;1.08),1.03 (0.98;1.09),1.04 (0.98;1.11),1.03 (0.94;1.11)
CMNN,Respiratory Infections,0.91 (0.88;0.94),1.02 (0.99;1.05),1.00 (0.95;1.05),1.10 (1.04;1.17),1.02 (0.98;1.07)
CMNN,Maternal Conditions,0.92 (0.86;0.99),1.02 (0.97;1.07),1.09 (1.02;1.17),0.99 (0.91;1.06),0.95 (0.86;1.04)
CMNN,Perinatal Conditions,1.02 (0.98;1.05),0.99 (0.96;1.03),1.01 (0.97;1.05),0.97 (0.90;1.03),0.99 (0.92;1.06)
CMNN,Nutritional Conditions,0.90 (0.87;0.94),0.96 (0.91;1.02),0.95 (0.86;1.03),0.94 (0.83;1.05),1.01 (0.92;1.11)
Cancer,Mouth and oropharynx cancers,0.98 (0.95;1.01),1.03 (0.99;1.07),1.02 (0.97;1.06),1.02 (0.92;1.13),1.06 (0.98;1.14)
Cancer,Oesophagus cancer,0.93 (0.91;0.95),0.95 (0.91;0.99),0.94 (0.89;1.00),0.98 (0.91;1.05),0.93 (0.85;1.00)
Cancer,Stomach cancer,1.04 (1.02;1.07),0.99 (0.95;1.02),1.03 (0.99;1.07),0.98 (0.92;1.04),0.93 (0.86;0.99)
Cancer,Colon and rectum cancers,0.96 (0.94;0.97),1.05 (1.02;1.08),1.07 (1.04;1.11),1.05 (0.99;1.10),1.02 (0.98;1.07)
Cancer,Liver cancer,1.02 (1.00;1.05),1.01 (0.98;1.04),1.02 (0.98;1.06),0.97 (0.88;1.05),1.00 (0.95;1.05)
Cancer,Pancreas cancer,0.98 (0.97;0.99),1.05 (1.02;1.08),1.04 (1.00;1.08),1.09 (1.03;1.15),1.05 (0.99;1.11)
Cancer,"Trachea, bronchus, lung cancers",0.92 (0.90;0.94),1.02 (0.99;1.06),1.01 (0.97;1.05),1.00 (0.91;1.09),1.04 (0.97;1.10)
Cancer,Melanoma and other skin cancers,0.97 (0.95;0.99),1.00 (0.96;1.04),1.01 (0.95;1.07),1.02 (0.95;1.10),0.98 (0.90;1.06)
Cancer,Breast cancer,0.99 (0.98;1.01),1.08 (1.05;1.11),1.09 (1.05;1.12),1.05 (0.99;1.10),1.08 (1.03;1.13)
Cancer,Cervix uteri cancer,1.00 (0.96;1.04),1.07 (1.02;1.11),1.14 (1.06;1.21),0.95 (0.89;1.01),1.00 (0.94;1.07)
Cancer,Corpus uteri cancer,1.02 (0.99;1.05),1.01 (0.97;1.06),1.03 (0.96;1.10),1.05 (0.96;1.13),0.97 (0.90;1.04)
Cancer,Ovary cancer,0.98 (0.96;1.00),1.08 (1.05;1.12),1.11 (1.06;1.16),1.10 (1.03;1.16),1.04 (0.98;1.09)
Cancer,Prostate cancer,0.97 (0.96;0.99),1.01 (0.99;1.04),1.00 (0.97;1.04),1.02 (0.96;1.08),1.01 (0.96;1.05)
Cancer,Other Cancer,0.94 (0.92;0.95),0.98 (0.96;1.00),0.96 (0.92;1.00),1.02 (0.98;1.05),0.99 (0.94;1.03)
